Region,County,District,District Name, Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay,Year
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,KINDERGARTEN,2.15,99381,46321,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ELEMENTARY (GRADES 1-6),0.49,25919,52659,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),2.97,154091,51825,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 1,1.84,89775,48664,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 2,2.09,114537,54823,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 3,1.48,74818,50642,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 4,1.55,86911,55999,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 5,2.56,135455,52962,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 6,2.78,149528,53799,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 7,3.20,162884,50968,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 8,2.91,150440,51651,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADES 9-12,11.50,543070,47206,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,TEACHING STAFF,TOTAL TEACHING STAFF,35.52,1786809,50299,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,COUNSELOR,1.11,57646,51901,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,10.23,491070,48007,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,1.50,75050,50033,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TOTAL SUPPORT STAFF,12.84,623766,48580,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,1.00,133776,133789,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,3.50,277897,79401,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,PRINCIPAL,0.50,37650,75300,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,REGISTRAR,0.50,30150,60300,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,0.33,51467,154416,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,5.83,530940,91022,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER, ,TOTAL PROFESSIONAL STAFF,54.20,2941515,54274,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,2.00,66104,33052,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,2.00,66104,33052,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER,AUXILIARY,AUXILIARY,18.33,497279,27123,2015-2016
10,DALLAS COUNTY,57802.0,PEGASUS SCHOOL OF LIBERAL ARTS AND,OPEN ENROLLMENT CHARTER, ,TOTAL PERSONNEL,74.53,3504898,47026,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,KINDERGARTEN,19.71,898657,45602,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,KINDERGARTEN/ELEMENTARY (K-6),543.67,25332876,46596,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ELEMENTARY (GRADES 1-6),19.68,949241,48229,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),16.56,794135,47964,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ALL GRADE LEVELS,104.79,5189004,49520,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 1,19.81,901316,45502,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 2,20.36,933302,45844,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 3,17.09,800836,46855,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 4,16.72,755876,45201,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 5,14.30,667647,46682,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 6,12.64,600755,47539,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 7,13.89,657973,47365,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADE 8,10.62,501518,47219,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADES 9-12,52.64,2609275,49564,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,TOTAL TEACHING STAFF,882.47,41592411,47132,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,COUNSELOR,39.34,2207073,56105,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,EDUCATIONAL DIAGNOSTICIAN,2.00,118320,59160,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,LIBRARIAN,4.93,259570,52665,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,LSSP/PSYCHOLOGIST,2.00,134820,67410,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,198.64,11057674,55667,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,113.10,6628038,58603,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,SCHOOL NURSE,10.19,500242,49105,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,SPEECH THRPST/SPEECH-LANG PATH,2.88,168604,58604,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TOTAL SUPPORT STAFF,373.07,21074341,56489,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,18.00,1212193,67344,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,7.00,870119,124303,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ATHLETIC DIRECTOR,1.00,44151,44151,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,BUSINESS MANAGER,1.00,108000,108000,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,3.00,236800,78933,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,3.00,280506,93502,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,REGISTRAR,8.95,419079,46815,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,110376,110376,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,TEACHER SUPERVISOR,13.75,871141,63356,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,56.70,4152365,73231,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER, ,TOTAL PROFESSIONAL STAFF,1312.25,66819117,50920,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,106.09,3348326,31562,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,106.09,3348326,31562,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER,AUXILIARY,AUXILIARY,127.86,3064321,23967,2015-2016
10,DALLAS COUNTY,57803.0,UPLIFT EDUCATION,OPEN ENROLLMENT CHARTER, ,TOTAL PERSONNEL,1546.19,73231764,47363,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,TEACHING STAFF,ALL GRADE LEVELS,45.10,2433867,53968,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,TEACHING STAFF,GRADES 9-12,181.73,8896820,48957,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,TEACHING STAFF,TOTAL TEACHING STAFF,226.83,11330687,49953,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHER CAMP PROF PERSONNEL,161.79,5294081,32722,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,OTHR NON-INSTR DISTRICT,62.87,3565772,56713,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,SUPPORT STAFF,TOTAL SUPPORT STAFF,224.66,8859853,39436,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASSISTANT PRINCIPAL,19.42,1241763,63942,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,ASST/ASSOC/DEPUTY SUPERINTEND.,1.00,93700,93700,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,BUSINESS MANAGER,1.00,128750,128750,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIR -PERSONNEL/HUMAN RESOURCES,1.00,96000,96000,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,DIST INSTR PGM DIR OR EXC DIR,16.93,1217871,71942,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,PRINCIPAL,10.10,959712,95030,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,REGISTRAR,11.00,403017,36638,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,149350,149350,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,ADMINISTRATIVE STAFF,TOTAL ADMINISTRATIVE STAFF,61.45,4290163,69818,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER, ,TOTAL PROFESSIONAL STAFF,512.94,24480703,47726,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,EDUCATIONAL AIDE,5.40,148221,27443,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,PARAPROFESSIONAL STAFF,TOTAL PARAPROFESSIONAL STAFF,5.40,148221,27443,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER,AUXILIARY,AUXILIARY,29.65,909340,30672,2015-2016
10,DALLAS COUNTY,57804.0,TEXANS CAN ACADEMIES,OPEN ENROLLMENT CHARTER, ,TOTAL PERSONNEL,547.99,25538264,46604,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,PRE-KINDERGARTEN,3.63,130467,35941,2015-2016
10,DALLAS COUNTY,57805.0,LUMIN EDUCATION,OPEN ENROLLMENT CHARTER,TEACHING STAFF,KINDERGARTEN,3.00,120550,40183,2015-2016
