Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,Year,ERW,TSI_Both_Mskd,Above_TSI_Both_Rate
All Students,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,404.0,412.0,389.0,815.0,<50,<50,89.8,<25,,2015,,,
African American,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,400.0,450.0,395.0,850.0,<25,<25,66.7,<25,,2015,,,
American Indian,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Asian,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Hispanic,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,398.0,405.0,383.0,803.0,<50,<50,90.2,<25,,2015,,,
Pacific Islander,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
White,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,473.0,447.0,450.0,920.0,<25,<25,100.0,<25,,2015,,,
Multiracial,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,<25,<25,,<25,,2015,,,
Missing Ethnicity,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Economically Disadvantaged,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,406.0,409.0,378.0,815.0,<50,<50,90.0,<25,,2015,,,
Not Economically Disadvantaged,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,393.0,424.0,439.0,816.0,<25,<25,88.9,<25,,2015,,,
Missing Econ,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Female,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,379.0,417.0,385.0,796.0,<25,<25,95.5,<25,,2015,,,
Male,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,427.0,407.0,393.0,833.0,<50,<25,85.2,<25,,2015,,,
Missing Gender,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,,,,,"=""0""","=""0""",,"=""0""",,2015,,,
Bil/ESL,"=""057802""",Pegasus School Of Liberal Arts And,"=""057""",Dallas County,"=""10""",Richardson,343.0,359.0,322.0,702.0,<25,<25,85.7,<25,,2015,,,
